Adresse,lat,lon,precision,correspondance
"Anosibe, Antananarivo, Analamanga, Madagascar",-18.9249254,47.5143932,exacte,"Anosibe, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Anosimasina, Itaosy, Antananarivo, Analamanga, Madagascar",-18.9181185,47.4708415,approchée,"Itaosy, District d'Antananarivo Atsimondrano, Analamanga, Province d’Antananarivo, 102, Madagasikara / Madagascar"
"Anosipatrana, Antananarivo, Analamanga, Madagascar",-18.9289111,47.4966245,exacte,"Anosipatrana, Antananarivo, Analamanga, Province d’Antananarivo, 102, Madagasikara / Madagascar"
"Anosizato Andrefana, Antananarivo, Analamanga, Madagascar",-18.9391335,47.4971223,exacte,"Anosizato Andrefana, Antananambony, Vahilava, District d'Antananarivo Atsimondrano, Analamanga, Province d’Antananarivo, 102, Madagasikara / Madagascar"
"Anosizato Est, Antananarivo, Analamanga, Madagascar",-18.9100122,47.5255809,approchée,"Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Anosizato, Antananarivo, Analamanga, Madagascar",-18.9378531,47.4999013,exacte,"Anosizato, Anosizato Andrefana, Anosizato Atsinanana, Antananarivo, Analamanga, Province d’Antananarivo, 102, Madagasikara / Madagascar"
Anosy,-23.9408037,46.1469315,incertaine,"Anosy, Province de Toliara, Madagasikara / Madagascar"
"Anosy Avaratra, Antananarivo, Analamanga, Madagascar",-18.8187582,47.5626053,exacte,"Anosy Avaratra, District d'Antananarivo Avaradrano, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
"Antalaha, Sava, Madagascar",-14.9012302,50.2810433,exacte,"Antalaha, District d'Antalaha, Sava, Province d'Antsiranana, Madagasikara / Madagascar"
"Antananarivo, Analamanga, Madagascar",-18.9100122,47.5255809,exacte,"Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
Antaniavo,-18.9035513,47.5140628,incertaine,"Lycée privé La Sagesse Antaniavo Antohomadinika, Làlana Eboue, Bekiraro, Isotry, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Antanimalandy, Mahajanga, Boeny, Madagascar",-15.7095916,46.3570215,exacte,"Antanimalandy, Mahajanga, Mahajanga I, Boeny, Province de Mahajanga, 401, Madagasikara / Madagascar"
"Antanimbary, Maevatanana, Betsiboka, Madagascar",-17.1851827,46.8553755,exacte,"Antanimbary, Maevatanana, Betsiboka, Province de Mahajanga, Madagasikara / Madagascar"
"Antanimena, Antananarivo, Analamanga, Madagascar",-18.8976398,47.5207728,exacte,"Antanimena, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
Antanimora,-24.8190296,45.6576133,incertaine,"Antanimora, Ambovombe-Androy, Androy, Province de Toliara, Madagasikara / Madagascar"
"Antaninandro, Antananarivo, Analamanga, Madagascar",-18.6904372,47.3971814,exacte,"Antaninandro, Antanetibe Mahazaza, District d'Ambohidratrimo, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
Antanivao,-19.8781332,47.0379409,incertaine,"Antanivao, Antsirabe, Antsirabe I, Vakinankaratra, Province d’Antananarivo, Madagasikara / Madagascar"
"Antehiroka, Antananarivo, Analamanga, Madagascar",-18.8457515,47.4875559,exacte,"Ambatolampy Antehiroka, Antananarivo, Analamanga, Province d’Antananarivo, 105, Madagasikara / Madagascar"
"Antetezanafovoany, Antananarivo, Analamanga, Madagascar",-18.9100122,47.5255809,approchée,"Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Antohomadinika, Antananarivo, Analamanga, Madagascar",-18.90466,47.5153853,exacte,"Antohomadinika, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Antsahamamy, Antananarivo, Analamanga, Madagascar",-18.9180882,47.5592986,exacte,"Antsahamamy, Ambolonkandrina, Antananarivo, Analamanga, Province d’Antananarivo, 103, Madagasikara / Madagascar"
Antsahameva,-18.9102098,47.5487971,incertaine,"Antsahameva, Ankatso, Antananarivo, Analamanga, Province d’Antananarivo, 103, Madagasikara / Madagascar"
"Antsakaviro, Antananarivo, Analamanga, Madagascar",-18.9113363,47.5365023,exacte,"Antsakaviro, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Antsirabe, Vakinankaratra, Madagascar",-19.871403,47.034667,exacte,"Antsirabe, Antsirabe I, Vakinankaratra, Province d’Antananarivo, 110, Madagasikara / Madagascar"
"Antsiranana, Diana, Madagascar",-12.2779632,49.2913743,exacte,"Antsiranana, District de Antsiranana I, Diana, Province d'Antsiranana, 201, Madagasikara / Madagascar"
"Antsohihy, Sofia, Madagascar",-14.8775272,47.98715,exacte,"Antsohihy, Sofia, Province de Mahajanga, Madagasikara / Madagascar"
"Arivonimamo, Itasy, Madagascar",-19.0087687,47.1797742,exacte,"Arivonimamo, Itasy, Province d’Antananarivo, 112, Madagasikara / Madagascar"
"Avaradoha, Antananarivo, Analamanga, Madagascar",-18.9001063,47.5438721,exacte,"Avaradoha, Antananarivo, Analamanga, Province d’Antananarivo, 103, Madagasikara / Madagascar"
"Befelatanana, Antananarivo, Analamanga, Madagascar",-18.9193638,47.5231505,exacte,"Maternité Befelatanana, Làlana Ravelonanosy, Mahamasina Atsimo, Mahamasina, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Behoririka, Antananarivo, Analamanga, Madagascar",-18.9023148,47.5256863,exacte,"Behoririka, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Bekily, Androy, Madagascar",-24.2220541,45.3189359,exacte,"Bekily, Morafeno Bekily, District de Bekily, Androy, Province de Toliara, Madagasikara / Madagascar"
"Belo-sur-Tsiribihina, Menabe, Madagascar",-19.6898203,44.5448105,exacte,"Belo sur Tsiribihina, N 8, Belo-Tsiribihina, Belo Sur Tsiribihina, Menabe, Province de Toliara, 608, Madagasikara / Madagascar"
"Belobaka, Mahajanga, Boeny, Madagascar",-15.7167425,46.3336571,exacte,"Belobaka, Antanimasaja, Mahajanga, Mahajanga I, Boeny, Province de Mahajanga, 401, Madagasikara / Madagascar"
"Bemasoandro, Antananarivo, Analamanga, Madagascar",-18.9130158,47.485925,exacte,"Bemasoandro, District d'Antananarivo Atsimondrano, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Bemasoandro, Itaosy, Antananarivo, Analamanga, Madagascar",-18.9181185,47.4708415,approchée,"Itaosy, District d'Antananarivo Atsimondrano, Analamanga, Province d’Antananarivo, 102, Madagasikara / Madagascar"
